id,facility_name,business_status,road_address,parcel_address,phone,area_sqm,facility_type,latitude,longitude
1,뉴욕동물병원,영업/정상,"서울특별시 종로구 창경궁로35길 19, 2층 (혜화동)",서울특별시 종로구 혜화동 53-11 2층,02-762-7582,44.90,동물병원,37.58683080,127.00168965
2,선동물병원,영업/정상,"서울특별시 종로구 자하문로 95, 신교빌딩 1층 (신교동)",서울특별시 종로구 신교동 70-10번지,02-733-6030,326.50,동물병원,37.58445030,126.96998033
3,해동물병원,영업/정상,서울특별시 종로구 지봉로 53-1 (창신동),서울특별시 종로구 창신동 80-1,02-744-9098,0.00,동물병원,37.57490213,127.01551104
4,북악동물병원,영업/정상,서울특별시 종로구 자하문로 293 (홍지동),서울특별시 종로구 홍지동 127-7번지 5통5반 지층 3호,391-4575,46.22,동물병원,37.59888725,126.96024989
5,올리브동물병원,영업/정상,서울특별시 종로구 자하문로 305 (홍지동),서울특별시 종로구 홍지동 126-8,3917502,0.00,동물병원,37.59928067,126.95898225
6,우리동물병원,영업/정상,서울특별시 종로구 지봉로 96-3 (숭인동),서울특별시 종로구 숭인동 52-8번지,3676-1190,42.58,동물병원,37.57870641,127.01564428
7,누리봄동물병원,영업/정상,서울특별시 종로구 사직로12길 2 (내자동),서울특별시 종로구 내자동 125-3번지,02-735-7530,45.00,동물병원,37.57579298,126.97106457
8,광화문동물병원,영업/정상,"서울특별시 종로구 자하문로 35-3, 씨에스코즈빌 101호 (통인동)",서울특별시 종로구 통인동 147-7 씨에스코즈빌,722-8275,0.00,동물병원,37.57904256,126.97116343
9,경희궁 바른 동물병원,영업/정상,"서울특별시 종로구 송월길 99, 상가동 2층 2229호 (홍파동, 경희궁자이 2단지)",서울특별시 종로구 홍파동 42-13 경희궁자이 2단지 상가동 2229호,,0.00,동물병원,37.57083004,126.96356069
10,대학로동물병원,영업/정상,서울특별시 종로구 창경궁로 261 (명륜2가),서울특별시 종로구 명륜2가 5-99번지 1통3반 방산빌라 402호,3672-8441,53.70,동물병원,37.58464796,127.00018969
11,월드펫동물병원,영업/정상,"서울특별시 종로구 평창문화로 75, 글로리아타운 111호 (평창동)",서울특별시 종로구 평창동 158-1 글로리아타운,379-7575,0.00,동물병원,37.60682017,126.96921747
12,폴라동물병원,영업/정상,"서울특별시 종로구 낙산길 311, 지1층 (숭인동)",서울특별시 종로구 숭인동 20-138 지1층,,136.50,동물병원,37.58053720,127.01721984
13,바우미우동물병원,영업/정상,"서울특별시 중구 다산로 175, 명덕빌딩 (신당동)",서울특별시 중구 신당동 336-3 명덕빌딩,2237-3366,306.00,동물병원,37.55929267,127.01284103
14,황동물병원,영업/정상,서울특별시 중구 퇴계로 254-1 (묵정동),서울특별시 중구 묵정동 32-1,2278-0075,0.00,동물병원,37.56237120,127.00000536
15,윤신근박사동물병원,영업/정상,서울특별시 중구 퇴계로 226 (필동2가),서울특별시 중구 필동2가 53,2274-8558,0.00,동물병원,37.56162822,126.99685596
16,바른동물병원,영업/정상,"서울특별시 중구 퇴계로 447, 1층 131호 (황학동, 황학 아크로타워)",서울특별시 중구 황학동 2523 황학 아크로타워,02-2232-7975,67.91,동물병원,37.56617156,127.02190934
17,백슬동물병원,영업/정상,"서울특별시 중구 만리재로 175, 지하1층 401-1호 (만리동2가, 서울역센트럴자이)",서울특별시 중구 만리동2가 273 서울역센트럴자이,02-393-7588,0.00,동물병원,37.55421786,126.96340909
18,신당 좋아요 동물병원,영업/정상,"서울특별시 중구 다산로36길 83, 1층 (신당동)",서울특별시 중구 신당동 44-17,02-2233-6675,44.77,동물병원,37.56052612,127.01910994
19,애니컴 메디컬센터,영업/정상,"서울특별시 중구 다산로 83-1, 3층 (신당동)",서울특별시 중구 신당동 353-130,02-2232-9702,144.00,동물병원,37.55207406,127.00803602
20,메종동물병원,영업/정상,"서울특별시 중구 다산로 230, 하나빌딩 1층 (신당동)",서울특별시 중구 신당동 102-6번지,02-2038-7555,91.00,동물병원,37.56349861,127.01597494
21,웰니스클리닉(청계천점),영업/정상,"서울특별시 중구 청계천로 400, 지하 1층 (황학동, 롯데캐슬베네치아)",서울특별시 중구 황학동 2545 롯데캐슬베네치아,02-2234-7585,52.89,동물병원,37.57097824,127.02143375
22,헬릭스동물심장수술센터,영업/정상,"서울특별시 중구 을지로38길 20, 뉴천지관광호텔 2층 (을지로5가)",서울특별시 중구 을지로5가 133-1 뉴천지관광호텔,02-6965-7502,0.00,동물병원,37.56588431,127.00334576
23,헬릭스동물암센터,영업/정상,"서울특별시 중구 을지로38길 20, 뉴천지관광호텔 1층 (을지로5가)",서울특별시 중구 을지로5가 133-1 뉴천지관광호텔,02-6956-7502,0.00,동물병원,37.56588431,127.00334576
24,서울동물영상종양센터,영업/정상,"서울특별시 중구 을지로38길 20, 뉴천지관광호텔 1층 (을지로5가)",서울특별시 중구 을지로5가 133-1 뉴천지관광호텔,02-6956-7502,0.00,동물병원,37.56588431,127.00334576
25,"에스디(SD)동물영상센터,서울",영업/정상,"서울특별시 중구 왕십리로 407, B1-1호 (신당동, 신당 파인힐 하나유보라)",서울특별시 중구 신당동 855 신당 파인힐 하나유보라,,0.00,동물병원,37.56425320,127.02491625
26,"에스디(SD)동물의료센터,서울",영업/정상,"서울특별시 중구 왕십리로 407, 신당 파인힐 하나유보라 B1층 03,04,05호 (신당동, 신당 파인힐 하나유보라)",서울특별시 중구 신당동 855 신당 파인힐 하나유보라,02-2039-0303,0.00,동물병원,37.56425320,127.02491625
27,힐스타운 동물병원,영업/정상,"서울특별시 중구 다산로 32, 스포츠상가동 106-2호 (신당동, 남산타운)",서울특별시 중구 신당동 844 남산타운,02-2237-7582,118.80,동물병원,37.54901359,127.00928041
28,웰튼동물의료센터,영업/정상,"서울특별시 중구 난계로 197, 1,2,4층 (황학동)",서울특별시 중구 황학동 1596,02-2253-2233,0.00,동물병원,37.56911079,127.02326608
29,대한동물병원,영업/정상,서울특별시 중구 퇴계로 227 (충무로4가),서울특별시 중구 충무로4가 93-1,2263-6134,0.00,동물병원,37.56206055,126.99689158
30,남산동물병원,영업/정상,"서울특별시 중구 다산로 32, 5상가동 217호 (신당동, 남산타운)",서울특별시 중구 신당동 844 남산타운,2256-8275,0.00,동물병원,37.54901359,127.00928041
31,미래지동물의료센터,영업/정상,"서울특별시 중구 다산로 107, 2층 (신당동)",서울특별시 중구 신당동 368-19,2233-7574,242.41,동물병원,37.55365331,127.00965056
32,원스동물병원,영업/정상,"서울특별시 용산구 청파로47길 16, 지상1층 (청파동2가)",서울특별시 용산구 청파동2가 90-20 지상1층,02-719-8275,121.38,동물병원,37.54497970,126.96949047
33,이상윤동물병원,영업/정상,"서울특별시 용산구 이촌로 248, 31동 105-2호 (이촌동, 한강맨션)",서울특별시 용산구 이촌동 300-23 한강맨션,027925455,39.37,동물병원,37.51933005,126.97502656
34,에스동물병원,영업/정상,"서울특별시 용산구 서빙고로 17, 헤링턴스퀘어 센트럴파크 몰동 1146, 1147호 (한강로3가)",서울특별시 용산구 한강로3가 98,,102.53,동물병원,37.52592823,126.96749170
35,위런한방재활동물병원,영업/정상,"서울특별시 용산구 한강대로 95, 225호 (한강로2가, 래미안용산 더 센트럴)",서울특별시 용산구 한강로2가 422 래미안용산 더 센트럴 225호,02-2138-3877,0.00,동물병원,37.52910835,126.96698125
36,용산마음동물병원,영업/정상,"서울특별시 용산구 백범로 340, 2층 (원효로2가)",서울특별시 용산구 원효로2가 1-36,027117580,140.92,동물병원,37.53767150,126.96660795
37,한남심장내과동물병원,영업/정상,"서울특별시 용산구 독서당로 46, 111호 (한남동, 한남아이파크)",서울특별시 용산구 한남동 828 한남아이파크,02-6085-4777,,동물병원,37.53239129,127.00725659
38,열린동물종합병원,영업/정상,"서울특별시 용산구 원효로 171, 신영빌딩 (원효로2가)",서울특별시 용산구 원효로2가 84-10 신영빌딩,3273-0075,89.67,동물병원,37.53562471,126.96175286
