id,name,leisure,geometry
0,송파구 반려견 놀이터,dog_park,POINT (127.1005 37.4964)
1,매헌시민의숲,dog_park,POINT (127.037 37.473)
2,원터공원,park,POINT (127.1430368 37.5524155)
3,송림공원,park,POINT (127.1539494 37.55504732)
4,까치공원,park,POINT (127.149995 37.557079)
5,두레공원,park,POINT (127.152203 37.558206)
6,동자공원,park,POINT (127.152467 37.559711)
7,샘터공원,park,POINT (127.159087 37.561901)
8,방죽공원,park,POINT (127.1598268 37.5591586)
9,동명공원,park,POINT (127.164455 37.561146)
10,상일공원,park,POINT (127.167312 37.5469247)
11,방아다리공원,park,POINT (127.153648 37.548156)
12,둔촌공원,park,POINT (127.143288 37.531437)
13,암사동공원,park,POINT (127.1233123 37.54888077)
14,솔말소공원,park,POINT (127.139147 37.556493)
15,솜다래공원,park,POINT (127.141229 37.553691)
16,암사공원,park,POINT (127.1417157 37.5565294)
17,천일공원,park,POINT (127.1362629 37.54498878)
18,당말공원,park,POINT (127.133246 37.53912769)
19,다솜공원,park,POINT (127.167582 37.546877)
20,꽃보라공원,park,POINT (127.175724 37.565352)
21,윤슬공원,park,POINT (127.177545 37.562677)
22,꿈터공원,park,POINT (127.180266 37.560861)
23,나루공원,park,POINT (127.123604 37.547038)
24,강일공원,park,POINT (127.1744407 37.569526)
25,벌말공원,park,POINT (127.177202 37.559936)
26,암사공원,park,POINT (127.137981 37.552756)
27,강덕공원,park,POINT (127.174682 37.558585)
28,능골공원,park,POINT (127.174727 37.556768)
29,구름공원,park,POINT (127.179213 37.566745)
30,고명공원,park,POINT (127.143352 37.552473)
31,일자산공원,park,POINT (127.1513563 37.5330568)
32,명일공원,park,POINT (127.1634092 37.5512577)
33,명우공원,park,POINT (127.141455 37.551537)
34,혜림공원,park,POINT (127.139905 37.54460149)
35,성안공원,park,POINT (127.134773 37.531369)
36,선린공원,park,POINT (127.132711 37.52851478)
37,보람공원,park,POINT (127.131302 37.52471702)
38,안말공원,park,POINT (127.129903 37.531236)
39,샛별공원,park,POINT (127.127036 37.526993)
