id,facility_name,district_name,address,phone,operating_hours,closed_day,parking_available,pet_size_limit,pet_restrictions,indoor,outdoor,pet_extra_fee,latitude,longitude,last_updated_date
1,100코달리 와인바,중구,서울특별시 중구 다산로38길 11,0507-1346-6774,화~일 18:00~02:00,매주 월요일,Y,모두 가능,제한사항 없음,Y,N,없음,37.56330525,127.01641700,2022-11-30
2,2Cats,종로구,서울특별시 종로구 인사동길 11,02-722-7833,매일 11:00~21:00,연중무휴,N,모두 가능,제한사항 없음,Y,N,없음,37.57182943,126.98678700,2022-11-30
3,강아지대학로,종로구,서울특별시 종로구 대학로12길 92,,매일 13:00~20:30,연중무휴,N,모두 가능,"소, 중, 대형견 공간분리",Y,N,없음,37.58009773,127.00368400,2022-11-30
4,강아지정류장,강서구,서울특별시 강서구 양천로 709,02-3662-1207,화~일 08:00~20:00,매주 월요일,N,모두 가능,제한사항 없음,Y,N,없음,37.54992339,126.87482500,2022-11-30
5,개라다이스,관악구,서울특별시 관악구 봉천로 283,0507-1373-8222,매일 07:30~20:00,연중무휴,Y,모두 가능,제한사항 없음,Y,N,없음,37.48766129,126.93262400,2022-11-30
6,개상전 애견카페,은평구,서울특별시 은평구 통일로 727-5,070-4404-1212,매일 11:00~21:00,연중무휴,Y,모두 가능,제한사항 없음,Y,N,없음,37.61021895,126.92920200,2022-11-30
7,겟썸커피,강남구,서울특별시 강남구 논현로159길 46-6,070-4223-3619,화~일 10:00~21:00,매주 월요일,N,모두 가능,제한사항 없음,Y,N,없음,37.52243470,127.02446400,2022-11-30
8,겨울이 머무는 집,마포구,서울특별시 마포구 와우산로17길 19-5,0507-1315-9151,수~월 13:00~21:00,매주 화요일,N,해당없음,해당없음,N,N,없음,37.54995731,126.92186500,2025-03-24
9,고양이놀이터 카페,중구,서울특별시 중구 명동8길 37-14,02-3789-2207,매일 12:00~23:00,연중무휴,N,모두 가능,제한사항 없음,Y,N,없음,37.56197788,126.98548900,2022-11-30
10,고양이다락방 신촌점,서대문구,서울특별시 서대문구 연세로 25-1,,매일 12:00~22:00,연중무휴,N,모두 가능,제한사항 없음,Y,N,없음,37.55797643,126.93670500,2022-11-30
11,고양이다락방 홍대점,마포구,서울특별시 마포구 홍익로6길 21,02-3142-3123,매일 13:00~22:00,연중무휴,Y,모두 가능,제한사항 없음,Y,N,없음,37.55549336,126.92290200,2022-11-30
12,고양이정원,강서구,서울특별시 강서구 개화동로19길 18,02-2665-4507,매일 11:00~22:00,연중무휴,Y,모두 가능,제한사항 없음,Y,Y,없음,37.57570577,126.80316500,2022-11-30
13,구름뜬하늘,마포구,서울특별시 마포구 와우산로27길 21,02-3144-4978,수~월 11:00~22:00,매주 화요일,N,모두 가능,제한사항 없음,Y,N,없음,37.55414552,126.92710000,2022-11-30
14,구욱희씨,성동구,서울특별시 성동구 서울특별시숲4길 12-22,0507-1413-7799,매일 12:00~22:00,연중무휴,N,모두 가능,루프탑 외 입장 불가,Y,Y,없음,37.54711029,127.04186800,2022-11-30
15,김남매누나,송파구,서울특별시 송파구 백제고분로42길 23,0507-1332-9825,매일 12:00~23:00,연중무휴,N,모두 가능,제한사항 없음,Y,N,없음,37.50465287,127.11100000,2022-11-30
16,김바니네,동대문구,서울특별시 동대문구 전농로 36,0507-1348-9873,토~목 11:00~21:00,매주 금요일,Y,모두 가능,제한사항 없음,Y,N,없음,37.56801050,127.05740600,2022-11-30
17,나인페츠 건대점,광진구,서울특별시 광진구 능동로 49,02-487-0955,매일 10:00~19:00,연중무휴,N,모두 가능,"5차 접종 필수, 전염질환, 공격성, 생리 중인 경우 입장 불가",Y,N,없음,37.53581451,127.06839700,2022-11-30
18,내친구고양이카페,중랑구,서울특별시 중랑구 면목로 306,,매일 17:00~22:00,연중무휴,N,모두 가능,제한사항 없음,Y,N,없음,37.57943288,127.08772100,2022-11-30
19,노블도그 애견카페,강서구,서울특별시 강서구 강서로 237,02-2606-0456,매일 12:00~22:00,연중무휴,Y,모두 가능,제한사항 없음,Y,N,없음,37.54686698,126.83588300,2022-11-30
20,다니맘 수제간식 레스토랑,노원구,서울특별시 노원구 한글비석로23길 26,,매일 12:00~20:00,연중무휴,N,모두 가능,제한사항 없음,Y,Y,없음,37.65969337,127.07101700,2022-11-30
21,다독인더시티,강남구,서울특별시 강남구 논현로101길 10,02-516-9650,매일 10:00~22:00,연중무휴,Y,모두 가능,제한사항 없음,Y,Y,없음,37.50461632,127.03404400,2022-11-30
22,다시사랑받개,중랑구,서울특별시 중랑구 용마산로139나길 83,02-6958-6225,목~화 13:00~20:00,매주 수요일,Y,소형,공격성 있는 경우 입장 불가,Y,N,없음,37.61897034,127.10360400,2022-11-30
23,댕그라미 애견카페,강남구,서울특별시 강남구 논현로115길 71,0507-1301-3595,매일 10:30~22:00,연중무휴,Y,모두 가능,제한사항 없음,Y,N,없음,37.50832105,127.02720300,2022-11-30
24,더왈츠,강남구,서울특별시 강남구 역삼로 134,02-564-0927,매일 12:00~21:00,연중무휴,Y,소형/중형,제한사항 없음,Y,N,없음,37.49411114,127.03431600,2022-11-30
25,더포트,강남구,서울특별시 강남구 영동대로142길 27,02-511-2008,매일 10:00~19:00,연중무휴,Y,모두 가능,제한사항 없음,Y,Y,없음,37.52521703,127.05550600,2022-11-30
26,데이비드쥬스,영등포구,서울특별시 영등포구 여의동로 213,070-8875-8586,월~토 10:00~18:00,매주 일요일,Y,모두 가능,제한사항 없음,Y,N,없음,37.51859533,126.93963000,2022-11-30
27,도그원 애견카페,은평구,서울특별시 은평구 연서로29길 25,02-357-1591,토 13:00~22:00,매주 월~금,N,모두 가능,제한사항 없음,Y,N,없음,37.61943907,126.91759000,2022-11-30
28,도그존,송파구,서울특별시 송파구 올림픽로12길 28,070-7720-0427,수~월 12:00~21:00,매주 화요일,N,모두 가능,제한사항 없음,Y,N,없음,37.50910777,127.08319100,2022-11-30
29,도어401,강남구,서울특별시 강남구 선릉로161길 18,02-6104-4017,화~일 12:00~20:00,매주 월요일,Y,모두 가능,제한사항 없음,Y,N,없음,37.52748109,127.03901000,2022-11-30
30,도킹,서초구,서울특별시 서초구 동산로19길 54,070-7757-1207,매일 10:00~23:00,연중무휴,Y,모두 가능,제한사항 없음,Y,N,없음,37.47497221,127.04570900,2022-11-30
31,동건s애견카페,서초구,서울특별시 서초구 방배중앙로 157,02-533-8146,화~일 14:00~22:00,매주 월요일,N,모두 가능,제한사항 없음,Y,N,없음,37.49314709,126.98617200,2022-11-30
32,두젠틀,강남구,서울특별시 강남구 논현로 534,02-6259-1436,매일 11:00~21:00,연중무휴,Y,모두 가능,제한사항 없음,Y,N,없음,37.50411917,127.03580700,2022-11-30
33,드로우지,용산구,서울특별시 용산구 회나무로 83,02-790-2322,화~일 11:30~20:30,매주 월요일,N,모두 가능,제한사항 없음,Y,Y,없음,37.54098714,126.99554000,2022-11-30
34,디어도그,은평구,서울특별시 은평구 응암로12길 32-1,02-303-9690,매일 09:00~20:00,연중무휴,Y,모두 가능,제한사항 없음,Y,N,없음,37.58682540,126.91997000,2022-11-30
35,디어도그,은평구,서울특별시 은평구 응암로12길 32-1,02-303-9690,매일 09:00~20:00,연중무휴,Y,모두 가능,제한사항 없음,Y,N,없음,37.58682540,126.91997000,2022-11-30
36,디어앨리스,용산구,서울특별시 용산구 녹사평대로40길 51,0507-1435-1643,"목~화 17:00~24:00, 금~일 12:00~24:00",매주 수요일,N,모두 가능,제한사항 없음,Y,N,없음,37.53445875,126.98864400,2022-11-30
37,딜라이트리,강남구,서울특별시 강남구 압구정로48길 28,02-545-9927,매일 11:00~21:00,연중무휴,Y,모두 가능,제한사항 없음,Y,N,없음,37.52686160,127.03661700,2022-11-30
38,딩가 케이크,마포구,서울특별시 마포구 동교로29길 68,0303-8888-8889,매일 11:30~22:00,연중무휴,N,모두 가능,제한사항 없음,Y,N,없음,37.56340375,126.92207400,2022-11-30
39,똑똑독,노원구,서울특별시 노원구 한글비석로 424,02-930-9997,매일 10:00~22:00,연중무휴,Y,모두 가능,제한사항 없음,Y,N,없음,37.66215509,127.07015500,2022-11-30
40,똥강아지들,관악구,서울특별시 관악구 호암로22길 77,02-878-3560,정보없음,정보없음,N,모두 가능,제한사항 없음,Y,N,없음,37.46861659,126.93709300,2022-11-30
41,똥강아지카페,중랑구,서울특별시 중랑구 용마산로 248,0507-1430-0722,화~일 12:00~20:00,매주 월요일,N,모두 가능,매너벨트 필수,Y,N,"3,000원",37.57520556,127.08848500,2022-11-30
42,라딧프로젝트 카페,송파구,서울특별시 송파구 송파대로 450,0507-1392-7789,"일~월 12:00~21:00, 화~금 13:00~21:00, 토12:00~22:00","1, 2째주 월요일, 2, 3째주 화요일",N,25~30kg,"목줄 필수, 맹견 입장 불가",Y,N,없음,37.50685019,127.10615100,2022-11-30
43,라쿤카페 꾸꾸네,종로구,서울특별시 종로구 대명길 26,02-766-1245,화~일 13:30~21:00,매주 월요일,N,해당없음,해당없음,Y,N,없음,37.58341822,127.00009600,2025-03-24
44,런닝독 응암점,은평구,서울특별시 은평구 가좌로 251,0507-1382-7796,매일 12:00~20:00,연중무휴,N,소형,제한사항 없음,Y,N,없음,37.59145765,126.91515400,2022-11-30
45,레이씨,서대문구,서울특별시 서대문구 연희로15길 43,0507-1309-4390,월~토 17:00~01:00,매주 일요일,Y,모두 가능,최대 2마리,Y,Y,없음,37.56924738,126.92989400,2022-11-30
46,루프독,노원구,서울특별시 노원구 동일로 1027,0507-1321-1562,매일 09:00~21:00,연중무휴,N,10kg 이하,"맹견류, 공격성, 짖음 심한 경우 불가, 5차 접종, 매너벨트 필수",Y,Y,"3,000원",37.62182440,127.07388100,2022-11-30
47,르쉬드서울,송파구,서울특별시 송파구 위례성대로12길 18,0507-1305-7922,매일 07:30~22:00,연중무휴,Y,모두 가능,제한사항 없음,Y,N,없음,37.51207315,127.12182400,2022-11-30
48,리리앤펫,강북구,서울특별시 강북구 한천로131길 33,02-6368-4473,목~화 09:00~22:00,매주 수요일,Y,모두 가능,제한사항 없음,Y,N,없음,37.63792536,127.02689100,2022-11-30
49,마이티그루밍,강남구,서울특별시 강남구 논현로 613,0507-1323-9718,월~토 10:00~20:00,매주 일요일,N,모두 가능,제한사항 없음,Y,N,없음,37.50851375,127.03293600,2022-11-30
50,마포다방,마포구,서울특별시 마포구 홍익로5안길 47-5,070-4215-2717,매일 11:00~18:00,연중무휴,Y,모두 가능,제한사항 없음,Y,N,없음,37.55281917,126.92081000,2022-11-30
51,망원 휴개소,마포구,서울특별시 마포구 희우정로 77,0507-1322-0735,목~화 12:00~20:00,매주 수요일,N,모두 가능,제한사항 없음,Y,N,없음,37.55314381,126.90274000,2022-11-30
52,매로우,도봉구,서울특별시 도봉구 덕릉로60다길 34,0507-1317-1038,화~토 10:30~21:30,"격주 일, 월",Y,모두 가능,제한사항 없음,Y,N,없음,37.63759741,127.03910200,2022-11-30
53,멍멍벅스,마포구,서울특별시 마포구 잔다리로6길 28-1,070-4512-3435,매일 11:00~21:00,연중무휴,N,"주말, 공휴일 15kg 이하",수컷 매너벨트 필수,Y,Y,"소형견 5,000원, 중형견 6,000원, 대형견 7,000원",37.55205953,126.92066000,2022-11-30
54,멍멍이 다방,강서구,서울특별시 강서구 화곡로 117-1,070-7563-0304,화~일 12:00~22:00,매주 월요일,Y,모두 가능,제한사항 없음,Y,N,없음,37.54044768,126.83488100,2022-11-30
55,멍박스24 애견셀프목욕 무인카페,성북구,서울특별시 성북구 보문로34길 39,0507-1307-0354,매일 00:00~24:00,연중무휴,Y,모두 가능,제한사항 없음,Y,N,없음,37.59076885,127.01745800,2022-11-30
