업소명,영업상태,도로명주소,지번주소,전화번호,면적(㎡),구분,위도,경도
뉴욕동물병원,영업/정상,"서울특별시 종로구 창경궁로35길 19, 2층 (혜화동)",서울특별시 종로구 혜화동 53-11 2층,02-762-7582,44.9,동물병원,37.58683079683312,127.00168964514883
선동물병원,영업/정상,"서울특별시 종로구 자하문로 95, 신교빌딩 1층 (신교동)",서울특별시 종로구 신교동 70-10번지,02-733-6030,326.5,동물병원,37.58445029795431,126.9699803285461
해동물병원,영업/정상,서울특별시 종로구 지봉로 53-1 (창신동),서울특별시 종로구 창신동 80-1,02-744-9098,0.0,동물병원,37.57490212955837,127.01551103723376
북악동물병원,영업/정상,서울특별시 종로구 자하문로 293 (홍지동),서울특별시 종로구 홍지동 127-7번지 5통5반 지층 3호,391-4575,46.22,동물병원,37.59888724952151,126.96024989369117
올리브동물병원,영업/정상,서울특별시 종로구 자하문로 305 (홍지동),서울특별시 종로구 홍지동 126-8,3917502,0.0,동물병원,37.599280673742975,126.95898224909942
우리동물병원,영업/정상,서울특별시 종로구 지봉로 96-3 (숭인동),서울특별시 종로구 숭인동 52-8번지,3676-1190,42.58,동물병원,37.57870641042474,127.01564428386045
누리봄동물병원,영업/정상,서울특별시 종로구 사직로12길 2 (내자동),서울특별시 종로구 내자동 125-3번지,02-735-7530,45.0,동물병원,37.575792976965154,126.97106456897899
광화문동물병원,영업/정상,"서울특별시 종로구 자하문로 35-3, 씨에스코즈빌 101호 (통인동)",서울특별시 종로구 통인동 147-7 씨에스코즈빌,722-8275,0.0,동물병원,37.57904255539698,126.97116343333903
경희궁 바른 동물병원,영업/정상,"서울특별시 종로구 송월길 99, 상가동 2층 2229호 (홍파동, 경희궁자이 2단지)",서울특별시 종로구 홍파동 42-13 경희궁자이 2단지 상가동 2229호,,0.0,동물병원,37.570830037402246,126.96356068724062
대학로동물병원,영업/정상,서울특별시 종로구 창경궁로 261 (명륜2가),서울특별시 종로구 명륜2가 5-99번지 1통3반 방산빌라 402호,3672-8441,53.7,동물병원,37.58464795751557,127.00018968603457
월드펫동물병원,영업/정상,"서울특별시 종로구 평창문화로 75, 글로리아타운 111호 (평창동)",서울특별시 종로구 평창동 158-1 글로리아타운,379-7575,0.0,동물병원,37.60682017480036,126.96921746574851
폴라동물병원,영업/정상,"서울특별시 종로구 낙산길 311, 지1층 (숭인동)",서울특별시 종로구 숭인동 20-138 지1층,,136.5,동물병원,37.580537197689836,127.01721983624127
바우미우동물병원,영업/정상,"서울특별시 중구 다산로 175, 명덕빌딩 (신당동)",서울특별시 중구 신당동 336-3 명덕빌딩,2237-3366,306.0,동물병원,37.55929267318969,127.0128410320124
황동물병원,영업/정상,서울특별시 중구 퇴계로 254-1 (묵정동),서울특별시 중구 묵정동 32-1,2278-0075,0.0,동물병원,37.562371201334614,127.00000536325867
윤신근박사동물병원,영업/정상,서울특별시 중구 퇴계로 226 (필동2가),서울특별시 중구 필동2가 53,2274-8558,0.0,동물병원,37.56162822266519,126.99685596223046
바른동물병원,영업/정상,"서울특별시 중구 퇴계로 447, 1층 131호 (황학동, 황학 아크로타워)",서울특별시 중구 황학동 2523 황학 아크로타워,02-2232-7975,67.91,동물병원,37.5661715598295,127.02190934261299
백슬동물병원,영업/정상,"서울특별시 중구 만리재로 175, 지하1층 401-1호 (만리동2가, 서울역센트럴자이)",서울특별시 중구 만리동2가 273 서울역센트럴자이,02-393-7588,0.0,동물병원,37.554217863879735,126.96340909121992
신당 좋아요 동물병원,영업/정상,"서울특별시 중구 다산로36길 83, 1층 (신당동)",서울특별시 중구 신당동 44-17,02-2233-6675,44.77,동물병원,37.56052611962965,127.01910994024675
애니컴 메디컬센터,영업/정상,"서울특별시 중구 다산로 83-1, 3층 (신당동)",서울특별시 중구 신당동 353-130,02-2232-9702,144.0,동물병원,37.55207405570262,127.00803601641111
메종동물병원,영업/정상,"서울특별시 중구 다산로 230, 하나빌딩 1층 (신당동)",서울특별시 중구 신당동 102-6번지,02-2038-7555,91.0,동물병원,37.56349860816264,127.01597494254369
웰니스클리닉(청계천점),영업/정상,"서울특별시 중구 청계천로 400, 지하 1층 (황학동, 롯데캐슬베네치아)",서울특별시 중구 황학동 2545 롯데캐슬베네치아,02-2234-7585,52.89,동물병원,37.57097824068418,127.02143375230517
헬릭스동물심장수술센터,영업/정상,"서울특별시 중구 을지로38길 20, 뉴천지관광호텔 2층 (을지로5가)",서울특별시 중구 을지로5가 133-1 뉴천지관광호텔,02-6965-7502,0.0,동물병원,37.565884313946746,127.00334575757957
헬릭스동물암센터,영업/정상,"서울특별시 중구 을지로38길 20, 뉴천지관광호텔 1층 (을지로5가)",서울특별시 중구 을지로5가 133-1 뉴천지관광호텔,02-6956-7502,0.0,동물병원,37.565884313946746,127.00334575757957
서울동물영상종양센터,영업/정상,"서울특별시 중구 을지로38길 20, 뉴천지관광호텔 1층 (을지로5가)",서울특별시 중구 을지로5가 133-1 뉴천지관광호텔,02-6956-7502,0.0,동물병원,37.565884313946746,127.00334575757957
"에스디(SD)동물영상센터,서울",영업/정상,"서울특별시 중구 왕십리로 407, B1-1호 (신당동, 신당 파인힐 하나유보라)",서울특별시 중구 신당동 855 신당 파인힐 하나유보라,,0.0,동물병원,37.56425320340929,127.0249162504806
"에스디(SD)동물의료센터,서울",영업/정상,"서울특별시 중구 왕십리로 407, 신당 파인힐 하나유보라 B1층 03,04,05호 (신당동, 신당 파인힐 하나유보라)",서울특별시 중구 신당동 855 신당 파인힐 하나유보라,02-2039-0303,0.0,동물병원,37.56425320340929,127.0249162504806
힐스타운 동물병원,영업/정상,"서울특별시 중구 다산로 32, 스포츠상가동 106-2호 (신당동, 남산타운)",서울특별시 중구 신당동 844 남산타운,02-2237-7582,118.8,동물병원,37.54901359113069,127.00928041286774
웰튼동물의료센터,영업/정상,"서울특별시 중구 난계로 197, 1,2,4층 (황학동)",서울특별시 중구 황학동 1596,02-2253-2233,0.0,동물병원,37.56911078783622,127.02326608497435
대한동물병원,영업/정상,서울특별시 중구 퇴계로 227 (충무로4가),서울특별시 중구 충무로4가 93-1,2263-6134,0.0,동물병원,37.5620605454401,126.99689158219586
남산동물병원,영업/정상,"서울특별시 중구 다산로 32, 5상가동 217호 (신당동, 남산타운)",서울특별시 중구 신당동 844 남산타운,2256-8275,0.0,동물병원,37.54901359113069,127.00928041286774
미래지동물의료센터,영업/정상,"서울특별시 중구 다산로 107, 2층 (신당동)",서울특별시 중구 신당동 368-19,2233-7574,242.41,동물병원,37.553653309110814,127.00965055687385
원스동물병원,영업/정상,"서울특별시 용산구 청파로47길 16, 지상1층 (청파동2가)",서울특별시 용산구 청파동2가 90-20 지상1층,02-719-8275,121.38,동물병원,37.544979697089396,126.96949046862383
