시설명,시군구 명칭,도로명주소,전화번호,운영시간,휴무일,주차 가능여부,입장 가능 동물 크기,반려동물 제한사항,장소(실내) 여부,장소(실외)여부,애견 동반 추가 요금,위도,경도,최종작성일
100코달리 와인바,중구,서울특별시 중구 다산로38길 11,0507-1346-6774,화~일 18:00~02:00,매주 월요일,Y,모두 가능,제한사항 없음,Y,N,없음,37.56330525,127.016417,2022-11-30
2Cats,종로구,서울특별시 종로구 인사동길 11,02-722-7833,매일 11:00~21:00,연중무휴,N,모두 가능,제한사항 없음,Y,N,없음,37.57182943,126.986787,2022-11-30
강아지대학로,종로구,서울특별시 종로구 대학로12길 92,,매일 13:00~20:30,연중무휴,N,모두 가능,"소, 중, 대형견 공간분리",Y,N,없음,37.58009773,127.003684,2022-11-30
강아지정류장,강서구,서울특별시 강서구 양천로 709,02-3662-1207,화~일 08:00~20:00,매주 월요일,N,모두 가능,제한사항 없음,Y,N,없음,37.54992339,126.874825,2022-11-30
개라다이스,관악구,서울특별시 관악구 봉천로 283,0507-1373-8222,매일 07:30~20:00,연중무휴,Y,모두 가능,제한사항 없음,Y,N,없음,37.48766129,126.932624,2022-11-30
개상전 애견카페,은평구,서울특별시 은평구 통일로 727-5,070-4404-1212,매일 11:00~21:00,연중무휴,Y,모두 가능,제한사항 없음,Y,N,없음,37.61021895,126.929202,2022-11-30
겟썸커피,강남구,서울특별시 강남구 논현로159길 46-6,070-4223-3619,화~일 10:00~21:00,매주 월요일,N,모두 가능,제한사항 없음,Y,N,없음,37.5224347,127.024464,2022-11-30
겨울이 머무는 집,마포구,서울특별시 마포구 와우산로17길 19-5,0507-1315-9151,수~월 13:00~21:00,매주 화요일,N,해당없음,해당없음,N,N,없음,37.54995731,126.921865,2025-03-24
고양이놀이터 카페,중구,서울특별시 중구 명동8길 37-14,02-3789-2207,매일 12:00~23:00,연중무휴,N,모두 가능,제한사항 없음,Y,N,없음,37.56197788,126.985489,2022-11-30
고양이다락방 신촌점,서대문구,서울특별시 서대문구 연세로 25-1,,매일 12:00~22:00,연중무휴,N,모두 가능,제한사항 없음,Y,N,없음,37.55797643,126.936705,2022-11-30
고양이다락방 홍대점,마포구,서울특별시 마포구 홍익로6길 21,02-3142-3123,매일 13:00~22:00,연중무휴,Y,모두 가능,제한사항 없음,Y,N,없음,37.55549336,126.922902,2022-11-30
고양이정원,강서구,서울특별시 강서구 개화동로19길 18,02-2665-4507,매일 11:00~22:00,연중무휴,Y,모두 가능,제한사항 없음,Y,Y,없음,37.57570577,126.803165,2022-11-30
구름뜬하늘,마포구,서울특별시 마포구 와우산로27길 21,02-3144-4978,수~월 11:00~22:00,매주 화요일,N,모두 가능,제한사항 없음,Y,N,없음,37.55414552,126.9271,2022-11-30
구욱희씨,성동구,서울특별시 성동구 서울특별시숲4길 12-22,0507-1413-7799,매일 12:00~22:00,연중무휴,N,모두 가능,루프탑 외 입장 불가,Y,Y,없음,37.54711029,127.041868,2022-11-30
김남매누나,송파구,서울특별시 송파구 백제고분로42길 23,0507-1332-9825,매일 12:00~23:00,연중무휴,N,모두 가능,제한사항 없음,Y,N,없음,37.50465287,127.111,2022-11-30
김바니네,동대문구,서울특별시 동대문구 전농로 36,0507-1348-9873,토~목 11:00~21:00,매주 금요일,Y,모두 가능,제한사항 없음,Y,N,없음,37.5680105,127.057406,2022-11-30
나인페츠 건대점,광진구,서울특별시 광진구 능동로 49,02-487-0955,매일 10:00~19:00,연중무휴,N,모두 가능,"5차 접종 필수, 전염질환, 공격성, 생리 중인 경우 입장 불가",Y,N,없음,37.53581451,127.068397,2022-11-30
내친구고양이카페,중랑구,서울특별시 중랑구 면목로 306,,매일 17:00~22:00,연중무휴,N,모두 가능,제한사항 없음,Y,N,없음,37.57943288,127.087721,2022-11-30
노블도그 애견카페,강서구,서울특별시 강서구 강서로 237,02-2606-0456,매일 12:00~22:00,연중무휴,Y,모두 가능,제한사항 없음,Y,N,없음,37.54686698,126.835883,2022-11-30
다니맘 수제간식 레스토랑,노원구,서울특별시 노원구 한글비석로23길 26,,매일 12:00~20:00,연중무휴,N,모두 가능,제한사항 없음,Y,Y,없음,37.65969337,127.071017,2022-11-30
다독인더시티,강남구,서울특별시 강남구 논현로101길 10,02-516-9650,매일 10:00~22:00,연중무휴,Y,모두 가능,제한사항 없음,Y,Y,없음,37.50461632,127.034044,2022-11-30
다시사랑받개,중랑구,서울특별시 중랑구 용마산로139나길 83,02-6958-6225,목~화 13:00~20:00,매주 수요일,Y,소형,공격성 있는 경우 입장 불가,Y,N,없음,37.61897034,127.103604,2022-11-30
댕그라미 애견카페,강남구,서울특별시 강남구 논현로115길 71,0507-1301-3595,매일 10:30~22:00,연중무휴,Y,모두 가능,제한사항 없음,Y,N,없음,37.50832105,127.027203,2022-11-30
더왈츠,강남구,서울특별시 강남구 역삼로 134,02-564-0927,매일 12:00~21:00,연중무휴,Y,소형/중형,제한사항 없음,Y,N,없음,37.49411114,127.034316,2022-11-30
더포트,강남구,서울특별시 강남구 영동대로142길 27,02-511-2008,매일 10:00~19:00,연중무휴,Y,모두 가능,제한사항 없음,Y,Y,없음,37.52521703,127.055506,2022-11-30
데이비드쥬스,영등포구,서울특별시 영등포구 여의동로 213,070-8875-8586,월~토 10:00~18:00,매주 일요일,Y,모두 가능,제한사항 없음,Y,N,없음,37.51859533,126.93963,2022-11-30
도그원 애견카페,은평구,서울특별시 은평구 연서로29길 25,02-357-1591,토 13:00~22:00,매주 월~금,N,모두 가능,제한사항 없음,Y,N,없음,37.61943907,126.91759,2022-11-30
도그존,송파구,서울특별시 송파구 올림픽로12길 28,070-7720-0427,수~월 12:00~21:00,매주 화요일,N,모두 가능,제한사항 없음,Y,N,없음,37.50910777,127.083191,2022-11-30
도어401,강남구,서울특별시 강남구 선릉로161길 18,02-6104-4017,화~일 12:00~20:00,매주 월요일,Y,모두 가능,제한사항 없음,Y,N,없음,37.52748109,127.03901,2022-11-30
도킹,서초구,서울특별시 서초구 동산로19길 54,070-7757-1207,매일 10:00~23:00,연중무휴,Y,모두 가능,제한사항 없음,Y,N,없음,37.47497221,127.045709,2022-11-30
동건s애견카페,서초구,서울특별시 서초구 방배중앙로 157,02-533-8146,화~일 14:00~22:00,매주 월요일,N,모두 가능,제한사항 없음,Y,N,없음,37.49314709,126.986172,2022-11-30
두젠틀,강남구,서울특별시 강남구 논현로 534,02-6259-1436,매일 11:00~21:00,연중무휴,Y,모두 가능,제한사항 없음,Y,N,없음,37.50411917,127.035807,2022-11-30
드로우지,용산구,서울특별시 용산구 회나무로 83,02-790-2322,화~일 11:30~20:30,매주 월요일,N,모두 가능,제한사항 없음,Y,Y,없음,37.54098714,126.99554,2022-11-30
디어도그,은평구,서울특별시 은평구 응암로12길 32-1,02-303-9690,매일 09:00~20:00,연중무휴,Y,모두 가능,제한사항 없음,Y,N,없음,37.5868254,126.91997,2022-11-30
디어도그,은평구,서울특별시 은평구 응암로12길 32-1,02-303-9690,매일 09:00~20:00,연중무휴,Y,모두 가능,제한사항 없음,Y,N,없음,37.5868254,126.91997,2022-11-30
디어앨리스,용산구,서울특별시 용산구 녹사평대로40길 51,0507-1435-1643,"목~화 17:00~24:00, 금~일 12:00~24:00",매주 수요일,N,모두 가능,제한사항 없음,Y,N,없음,37.53445875,126.988644,2022-11-30
딜라이트리,강남구,서울특별시 강남구 압구정로48길 28,02-545-9927,매일 11:00~21:00,연중무휴,Y,모두 가능,제한사항 없음,Y,N,없음,37.5268616,127.036617,2022-11-30
딩가 케이크,마포구,서울특별시 마포구 동교로29길 68,0303-8888-8889,매일 11:30~22:00,연중무휴,N,모두 가능,제한사항 없음,Y,N,없음,37.56340375,126.922074,2022-11-30
똑똑독,노원구,서울특별시 노원구 한글비석로 424,02-930-9997,매일 10:00~22:00,연중무휴,Y,모두 가능,제한사항 없음,Y,N,없음,37.66215509,127.070155,2022-11-30
똥강아지들,관악구,서울특별시 관악구 호암로22길 77,02-878-3560,정보없음,정보없음,N,모두 가능,제한사항 없음,Y,N,없음,37.46861659,126.937093,2022-11-30
똥강아지카페,중랑구,서울특별시 중랑구 용마산로 248,0507-1430-0722,화~일 12:00~20:00,매주 월요일,N,모두 가능,매너벨트 필수,Y,N,"3,000원",37.57520556,127.088485,2022-11-30
라딧프로젝트 카페,송파구,서울특별시 송파구 송파대로 450,0507-1392-7789,"일~월 12:00~21:00, 화~금 13:00~21:00, 토12:00~22:00","1, 2째주 월요일, 2, 3째주 화요일",N,25~30kg,"목줄 필수, 맹견 입장 불가",Y,N,없음,37.50685019,127.106151,2022-11-30
라쿤카페 꾸꾸네,종로구,서울특별시 종로구 대명길 26,02-766-1245,화~일 13:30~21:00,매주 월요일,N,해당없음,해당없음,Y,N,없음,37.58341822,127.000096,2025-03-24
런닝독 응암점,은평구,서울특별시 은평구 가좌로 251,0507-1382-7796,매일 12:00~20:00,연중무휴,N,소형,제한사항 없음,Y,N,없음,37.59145765,126.915154,2022-11-30
레이씨,서대문구,서울특별시 서대문구 연희로15길 43,0507-1309-4390,월~토 17:00~01:00,매주 일요일,Y,모두 가능,최대 2마리,Y,Y,없음,37.56924738,126.929894,2022-11-30
루프독,노원구,서울특별시 노원구 동일로 1027,0507-1321-1562,매일 09:00~21:00,연중무휴,N,10kg 이하,"맹견류, 공격성, 짖음 심한 경우 불가, 5차 접종, 매너벨트 필수",Y,Y,"3,000원",37.6218244,127.073881,2022-11-30
르쉬드서울,송파구,서울특별시 송파구 위례성대로12길 18,0507-1305-7922,매일 07:30~22:00,연중무휴,Y,모두 가능,제한사항 없음,Y,N,없음,37.51207315,127.121824,2022-11-30
리리앤펫,강북구,서울특별시 강북구 한천로131길 33,02-6368-4473,목~화 09:00~22:00,매주 수요일,Y,모두 가능,제한사항 없음,Y,N,없음,37.63792536,127.026891,2022-11-30
마이티그루밍,강남구,서울특별시 강남구 논현로 613,0507-1323-9718,월~토 10:00~20:00,매주 일요일,N,모두 가능,제한사항 없음,Y,N,없음,37.50851375,127.032936,2022-11-30
