"순번","명칭","SHAPE","위도","경도"
"12","탐방가능구간","[B@4a1a3139","37.6145821","126.980954"
"13","탐방가능구간","[B@7d95bb30","37.6855885","127.0328939"
"14","탐방가능구간","[B@71348cb9","37.6149835","126.9881147"
"15","제목 없는 경로","[B@3102ffbf","37.4992481","126.8788777"
"20","탐방가능구간","[B@3be46dbc","37.6141189","126.9853437"
"29","탐방가능구간","[B@11e0705c","37.6805743","127.0294526"
"30","탐방가능구간","[B@25f0b12f","37.6125896","126.9829509"
"32","탐방가능구간","[B@5d00981e","37.6292451","127.0089257"
"33","탐방가능구간","[B@52030945","37.6624379","127.0092958"
"1","탐방가능구간","[B@4555bb13","37.6328206","127.0088088"
"2","탐방가능구간","[B@7f6cfff4","37.6611588","127.0071215"
"10","탐방가능구간","[B@4d182d87","37.6281185","127.0085079"
"16","탐방가능구간","[B@6e55219b","37.6209845","126.9357633"
"17","제목 없는 경로","[B@17117fb4","37.5990934","126.8970699"
"18","탐방가능구간","[B@7dd70e40","37.6739695","127.0292704"
"19","탐방가능구간","[B@31e8cc4b","37.6174281","126.9360017"
"21","탐방가능구간","[B@2abc6986","37.6271547","126.9354667"
"22","탐방가능구간","[B@37b3f255","37.6097427","126.9411885"
"23","탐방가능구간","[B@6eac705","37.6140583","126.9694496"
"24","탐방가능구간","[B@1fb01ccf","37.6085621","126.9513776"
"25","탐방가능구간","[B@63336a49","37.6099366","126.9604068"
"26","탐방가능구간","[B@44871180","37.6636829","127.0214785"
"27","광나루~올림픽공원역","[B@7f8e0da5","37.5381981","127.1360046"
"28","제목 없는 경로","[B@47220d0f","37.4738506","127.0421189"
"31","탐방가능구간","[B@c877845","37.6351561","127.0040963"
"35","탐방가능구간","[B@11e90070","37.6843733","127.0300614"
"47","탐방가능구간","[B@581bc23f","37.624128","127.0101048"
"3","탐방가능구간","[B@66de34a","37.6156134","126.9947324"
"4","제목 없는 경로","[B@18651292","37.6079913","126.949395"
"5","탐방가능구간","[B@13a63bc1","37.6153682","126.9912969"
"6","탐방가능구간","[B@69d05fb","37.6451205","127.0030883"
"7","탐방가능구간","[B@2ef3a521","37.6179834","126.9995459"
"8","탐방가능구간","[B@7dde319b","37.642459","127.0016621"
"9","탐방가능구간","[B@68af7ac","37.6093147","126.9545924"
"11","탐방가능구간","[B@d8a408f","37.6170742","126.9776218"
"66","탐방가능구간","[B@6f94733a","37.6417154","127.0036519"
"67","탐방가능구간","[B@7b191e10","37.6376334","127.0063894"
"68","Placemark","[B@2e04eb93","37.6133428","126.9843688"
"34","탐방가능구간","[B@4506177f","37.6626578","127.0143333"
"36","탐방가능구간","[B@12f0b640","37.6866424","127.0382478"
"37","탐방가능구간","[B@794d2d76","37.6751627","127.0323835"
"38","제목 없는 경로","[B@39e3dc31","37.5829493","127.0998072"
"39","보조구간","[B@1e8d32a8","37.6744913","127.0838273"
"40","제목 없는 경로","[B@47f8c343","37.4550975","126.9422836"
"41","탐방가능구간","[B@1cdb889f","37.6334985","127.0081042"
"50","탐방가능구간","[B@10e68d86","37.620231","127.0061477"
"51","탐방가능구간","[B@10556115","37.6326088","126.9393804"
"52","탐방가능구간","[B@5558b213","37.6089966","126.9519763"
"53","제목 없는 경로","[B@3213292b","37.6552307","127.0694274"
"58","탐방가능구간","[B@7f3dfbc","37.6138871","126.9866779"
"59","제목 없는 경로","[B@1be5b3b8","37.6881247","127.0432797"
"61","탐방가능구간","[B@57a0357","37.6142255","126.9883224"
"63","탐방가능구간","[B@d714790","37.6676027","127.0270891"
"64","탐방가능구간","[B@81145d5","37.6322248","127.0085743"
"71","탐방가능구간","[B@25ffa716","37.6546654","127.0084132"
"74","탐방가능구간","[B@3332a8d7","37.6516539","127.0083767"
"75","탐방가능구간","[B@42ead583","37.6428931","127.0013072"
"76","탐방가능구간","[B@4767adc7","37.6591567","127.0079445"
"42","탐방가능구간","[B@67c20870","37.6440275","127.0028646"
"43","탐방가능구간","[B@73b82647","37.6257232","127.0097376"
"44","탐방가능구간","[B@3ed93aab","37.6823823","127.029856"
"45","탐방가능구간","[B@279ad0c9","37.6398918","127.0062389"
"46","탐방가능구간","[B@2501506f","37.6343628","127.0064942"
"48","탐방가능구간","[B@7947ba63","37.6236857","127.0096837"
"49","탐방가능구간","[B@541df7c9","37.617529","126.9956899"
"54","탐방가능구간","[B@7b76d843","37.6138669","126.9881939"
"55","탐방가능구간","[B@37705608","37.6431027","127.0017326"
"56","탐방가능구간","[B@302043a7","37.635775","127.005692"
"57","탐방가능구간","[B@1639a1a0","37.6307454","127.0093257"
"60","탐방가능구간","[B@21a21ac6","37.6352959","127.0063607"
"62","탐방가능구간","[B@198bce6a","37.6456127","127.0028066"
"65","탐방가능구간","[B@299c9e40","37.6709166","127.0264512"
"78","탐방가능구간","[B@69599117","37.6475511","127.0039493"
"79","올림픽공원역~수서역","[B@7744b309","37.4945012","127.1218916"
"69","탐방가능구간","[B@3f46510b","37.6562106","127.0074299"
"70","탐방가능구간","[B@2172c9a1","37.6778848","127.0310896"
"72","탐방가능구간","[B@77137a2e","37.6169403","126.975317"
"73","탐방가능구간","[B@1fba9f15","37.649375","127.0039812"
"77","탐방가능구간","[B@15222bf9","37.6798056","127.0297906"
