TRL_ID,TRL_NM,TRL_CD,CTPRV_CD,SGNG_CD,EMNDN_CD,LGDNG_LI_CD,MLTNO_YN,LTNO_ORN,LTNO_VCN,PNTM_XCRD,PNTM_YCRD,TRMNA_XCRD,TRMNA_YCRD,Pet_AP,km,minute
C001,강서문화 산책길,2,11,500,104,0,1,236,10,126.8399794,37.57252252,126.8502565,37.56794479,1,2.5,40
C002,개운산 숲 나들길,2,11,290,103,0,1,2,71,127.0283737,37.60198359,127.0329099,37.5913129,1,3.4,90
C003,고덕산 산책길,2,11,740,107,0,2,41,3,127.1464673,37.56092586,127.1454889,37.5641596,1,3.5,90
C004,관악산 계곡 나들길,2,11,620,102,0,2,32,22,126.9479896,37.46379712,126.9480244,37.44080441,1,3.2,60
C005,관악산 나들길,2,11,620,102,0,2,78,8,126.9269044,37.46053834,126.9459486,37.46861795,1,1.6,30
C006,관음사 산책길,2,11,620,103,0,2,65,0,126.9783742,37.4690278,126.9779872,37.46675522,1,1.5,30
C007,구로 지양산 숲 나들길,2,11,470,103,0,1,910,1,126.829931,37.5221951,126.8230641,37.49255035,1,3.5,90
C009,구룡산 나들길,2,11,680,118,0,1,468,0,127.0480303,37.48310364,127.061203,37.46892121,1,2.8,60
C010,낙성대 산책길,2,11,620,101,0,2,25,0,126.9634254,37.47173858,126.9601582,37.47143604,1,2,45
C011,남산 순환 나들길,2,11,170,101,0,1,30,84,126.9820744,37.55227827,126.9915648,37.5553055,1,7.5,120
C012,남산야외식물원 산책길,2,11,170,130,0,1,258,466,126.997464,37.54080215,126.9963643,37.5444372,1,1.5,40
C013,달마을공원 산책길,2,11,470,102,0,1,946,1,126.8691242,37.54310425,126.8671179,37.54353823,1,1.2,30
C014,대모산 나들길,2,11,680,112,0,2,46,43,127.0916071,37.47762485,127.0742043,37.47818763,1,6.7,150
C015,덕수궁 산책길,2,11,140,167,0,1,5,1,126.9765602,37.56498934,126.9699932,37.56927278,0,1.5,40
C016,용마산 나들길,2,11,260,101,0,2,73,2,127.0878271,37.57235611,127.0943755,37.5804785,1,4,120
C017,망우산숲나들길,2,11,260,101,0,1,1549,0,127.0965318,37.58547747,127.1141599,37.59890138,1,5,120
C018,배봉산 답십리 나들길,2,11,230,109,0,2,6,35,127.06852,37.58901809,127.0624799,37.57393199,1,3.5,90
C019,홍릉수목원길,2,11,230,107,0,1,207,0,127.0427109,37.59166203,127.0448188,37.59702439,0,2.5,60
C020,천장산 산책길,2,11,290,139,0,1,409,0,127.05992,37.60459399,127.0514741,37.60137161,1,1.8,40
C021,오동공원 산책길,2,11,290,137,0,2,1,1,127.0453498,37.60961495,127.0404476,37.61104976,1,2.5,60
C022,우면산 나들길,2,11,650,108,0,2,36,6,127.0174897,37.47924731,127.0049229,37.47149586,1,4.5,120
C023,서리골 서리풀 나들길,2,11,650,107,0,1,505,0,127.0064275,37.50294327,126.9974423,37.48192612,1,3.9,80
C024,영등포 봄꽃 나들길,2,11,530,101,0,1,271,84,126.8828299,37.51457874,126.9100637,37.49930538,1,3,60
C025,용산가족 산책길,2,11,170,135,0,1,168,6,126.977775,37.52242183,126.9832935,37.52007675,1,2,40
C026,전쟁기념관 산책길,2,11,170,106,0,1,8,0,126.9775703,37.53482028,126.9778779,37.53612552,0,1.5,40
C027,어린이대공원 산책길,2,11,215,102,0,1,18,0,127.0835918,37.55036581,127.0776956,37.54901737,0,3.5,90
C028,아차산 숲 나들길,2,11,215,104,0,1,370,3,127.0998943,37.55216349,127.1022346,37.55600899,1,3.5,90
C029,"개화산 나들길(강서 둘레길 1,2코스)",2,11,500,109,0,2,153,7,126.805102,37.57666896,126.8050344,37.58423454,1,7,150
C030,월드컵공원 나들길,2,11,440,125,0,1,420,0,126.8989275,37.56919515,126.8911556,37.56593227,1,5,120
C031,상암산 DMC 체험나들길,2,11,440,127,0,1,1708,0,126.8927939,37.57769799,126.8989548,37.57066927,1,3,60
C032,홍대예술의거리 나들길,2,11,440,115,0,1,309,10,126.9230126,37.54791658,126.9281034,37.54774165,1,2.8,40
C033,신촌대학탐방 나들길,2,11,440,111,0,1,81,25,126.9376132,37.55155659,126.9369641,37.5556511,1,4.5,90
C034,안산숲 나들길(초록숲길),2,11,410,117,0,2,2,37,126.9393692,37.5778689,126.9461319,37.57788489,1,7,150
C035,독립공원안산 나들길,2,11,410,109,0,1,101,0,126.9573555,37.57395289,126.9579442,37.56884004,1,4,90
C036,진관공원 나들길,2,11,380,114,0,1,66,27,126.9190222,37.63746,126.929842,37.64593763,1,3.5,60
C037,서오릉 나들길,2,41,281,113,0,1,432,206,126.8975718,37.62630691,126.9031255,37.63230946,0,5.5,90
C038,청룡산 나들길,2,11,620,101,0,2,178,12,126.9527229,37.4721803,126.9511716,37.47680225,1,2.5,60
C039,선정릉나들길,2,11,680,105,0,1,111,86,127.0580459,37.51396626,127.0472025,37.50742283,0,3.4,60
C040,오패산 나들길,2,11,305,101,0,2,13,1,127.0295135,37.63249075,127.035912,37.62924776,1,2,40
C041,초안산 나들길(초록숲길),2,11,350,102,0,2,5,8,127.051131,37.64212535,127.052582,37.63213,1,3.5,90
C042,월계근린공원 산책길(영축산근린공원),2,11,350,102,0,2,108,7,127.0571181,37.62772904,127.0576678,37.62520618,1,1.5,30
C043,불암산 나들길,2,11,350,106,0,2,101,7,127.0878054,37.65167984,127.086895,37.62163653,1,5.5,120
C044,수락산 나들길(초록숲길),2,11,350,105,0,1,1264,4,127.0579013,37.68221945,127.0560702,37.67586634,1,4.5,120
C045,쌍문역사 산책길(초록숲길),2,11,320,106,0,1,726,139,127.037327,37.66274712,127.0280332,37.65328656,1,2.7,50
C046,북한산방학 나들길,2,11,320,108,0,1,469,9,127.0324799,37.67634886,127.0268003,37.66581925,0,3.5,90
C047,우장산 공원 산책길,2,11,500,106,0,2,19,1,126.8408608,37.55245067,126.8450183,37.55631191,1,3,60
C048,봉제산 숲 나들길,2,11,500,103,0,1,664,25,126.8517487,37.53661448,126.8585506,37.55237596,1,3.5,90
C049,개웅산 숲 산책길,2,11,530,107,0,2,53,3,126.8500714,37.48886461,126.8506224,37.48472732,1,3,60
C050,호암산 나들길,2,11,545,103,0,2,83,65,126.9119871,37.44915806,126.9250609,37.45205427,1,4.5,120
C051,독산ㆍ삼성산 나들길,2,11,545,102,0,1,182,44,126.9090728,37.47129593,126.9245494,37.45298678,1,4.5,120
C052,일자산숲 나들길,2,11,740,105,0,1,476,0,127.1537207,37.53916188,127.1491049,37.52739628,1,3.5,90
C053,보라매공원 산책길,2,11,590,109,0,1,722,0,126.9166038,37.49085373,126.9193073,37.49355137,1,1.5,30
